No. NF;DATA EMISSAO;VALOR IPI;NOME ARQUIVO XML
NF 62635;2012-04-23;6.75;43120402808708002908550010000626352040278513-nfe.xml
NF 62635;2012-04-23;212.17;43120402808708002908550010000626352040278513-nfe.xml
NF 62635;2012-04-23;62.33;43120402808708002908550010000626352040278513-nfe.xml
NF 229912;2012-12-27;328.52;43121202808708003203550010002299121479288051-nfe.xml
NF 229912;2012-12-27;55.23;43121202808708003203550010002299121479288051-nfe.xml
NF 228262;2012-12-16;435.31;43121202808708003203550010002282621351340277-nfe.xml
NF 228262;2012-12-16;395.01;43121202808708003203550010002282621351340277-nfe.xml
NF 230661;2012-12-31;283.23;43121202808708003203550010002306611513283356-old.xml
NF 230661;2012-12-31;265.44;43121202808708003203550010002306611513283356-old.xml
NF 229590;2012-12-24;328.11;43121202808708003203550010002295901506255370-old.xml
NF 229590;2012-12-24;395.01;43121202808708003203550010002295901506255370-old.xml
NF 227335;2012-12-11;550.80;43121202808708003203550010002273351575140526-old.xml
NF 227335;2012-12-11;400.88;43121202808708003203550010002273351575140526-old.xml
NF 229115;2012-12-21;1007.59;43121202808708003203550010002291151547195120-old.xml
NF 229699;2012-12-26;328.52;43121202808708003203550010002296991409234314-old.xml
NF 229699;2012-12-26;234.96;43121202808708003203550010002296991409234314-old.xml
NF 226120;2012-12-03;1665.45;43121202808708003203550010002261201516411340-old.xml
NF 227134;2012-12-10;398.92;43121202808708003203550010002271341341133304-old.xml
NF 227134;2012-12-10;132.72;43121202808708003203550010002271341341133304-old.xml
NF 227134;2012-12-10;211.85;43121202808708003203550010002271341341133304-old.xml
NF 230068;2012-12-28;3.26;43121202808708003203550010002300681367416413-nfe.xml
NF 74032;2012-12-03;115.10;43121202808708002908550010000740321491383171-old.xml
NF 74032;2012-12-03;123.68;43121202808708002908550010000740321491383171-old.xml
NF 74032;2012-12-03;77.84;43121202808708002908550010000740321491383171-old.xml
NF 228706;2012-12-19;266.60;43121202808708003203550010002287061392299091-old.xml
NF 228706;2012-12-19;407.40;43121202808708003203550010002287061392299091-old.xml
NF 226026;2012-12-02;297.24;43121202808708003203550010002260261495294217-nfe.xml
NF 226026;2012-12-02;361.77;43121202808708003203550010002260261495294217-nfe.xml
NF 226026;2012-12-02;253.39;43121202808708003203550010002260261495294217-nfe.xml
NF 226595;2012-12-06;731.22;43121202808708003203550010002265951494241505-nfe.xml
NF 230671;2012-12-31;394.36;43121202808708003203550010002306711438368260-old.xml
NF 230671;2012-12-31;531.25;43121202808708003203550010002306711438368260-old.xml
NF 228305;2012-12-17;324.61;43121202808708003203550010002283051409270232-nfe.xml
NF 228305;2012-12-17;394.36;43121202808708003203550010002283051409270232-nfe.xml
NF 228305;2012-12-17;397.33;43121202808708003203550010002283051409270232-nfe.xml
NF 230667;2012-12-31;527.99;43121202808708003203550010002306671396188860-old.xml
NF 227577;2012-12-12;141.00;43121202808708003203550010002275771522395423-old.xml
NF 227577;2012-12-12;423.70;43121202808708003203550010002275771522395423-old.xml
NF 227577;2012-12-12;217.89;43121202808708003203550010002275771522395423-old.xml
NF 228291;2012-12-16;398.92;43121202808708003203550010002282911436398352-nfe.xml
NF 228291;2012-12-16;335.70;43121202808708003203550010002282911436398352-nfe.xml
NF 228291;2012-12-16;168.93;43121202808708003203550010002282911436398352-nfe.xml
NF 226799;2012-12-07;107.50;43121202808708003203550010002267991401265085-old.xml
NF 226799;2012-12-07;103.70;43121202808708003203550010002267991401265085-old.xml
NF 75008;2012-12-18;37.34;43121202808708002908550010000750081443199993-nfe.xml
NF 75008;2012-12-18;174.28;43121202808708002908550010000750081443199993-nfe.xml
NF 229700;2012-12-26;55.23;43121202808708003203550010002297001449300086-nfe.xml
NF 229700;2012-12-26;199.46;43121202808708003203550010002297001449300086-nfe.xml
NF 229700;2012-12-26;179.44;43121202808708003203550010002297001449300086-nfe.xml
NF 74985;2012-12-18;255.43;43121202808708002908550010000749851510409927-old.xml
NF 74985;2012-12-18;334.72;43121202808708002908550010000749851510409927-old.xml
NF 75114;2012-12-19;18.31;43121202808708002908550010000751141331220438-nfe.xml
NF 75114;2012-12-19;382.35;43121202808708002908550010000751141331220438-nfe.xml
NF 75114;2012-12-19;113.17;43121202808708002908550010000751141331220438-nfe.xml
NF 229712;2012-12-26;328.52;43121202808708003203550010002297121407410470-nfe.xml
NF 229712;2012-12-26;640.86;43121202808708003203550010002297121407410470-nfe.xml
NF 230666;2012-12-31;766.67;43121202808708003203550010002306661411135842-old.xml
NF 228839;2012-12-20;915.17;43121202808708003203550010002288391420237306-old.xml
NF 229914;2012-12-27;276.13;43121202808708003203550010002299141475363134-old.xml
NF 229914;2012-12-27;590.56;43121202808708003203550010002299141475363134-old.xml
NF 229952;2012-12-27;324.61;43121202808708003203550010002299521599204756-old.xml
NF 229952;2012-12-27;640.86;43121202808708003203550010002299521599204756-old.xml
NF 229593;2012-12-24;858.75;43121202808708003203550010002295931533372040-old.xml
NF 229291;2012-12-22;39.11;43121202808708003203550010002292911470197121-nfe.xml
NF 230505;2012-12-30;541.03;43121202808708003203550010002305051534307659-nfe.xml
NF 227708;2012-12-13;391.10;43121202808708003203550010002277081530174116-old.xml
NF 227708;2012-12-13;531.25;43121202808708003203550010002277081530174116-old.xml
NF 74986;2012-12-18;81.85;43121202808708002908550010000749861530383416-old.xml
NF 74986;2012-12-18;298.34;43121202808708002908550010000749861530383416-old.xml
NF 74986;2012-12-18;39.69;43121202808708002908550010000749861530383416-old.xml
NF 227844;2012-12-14;198.81;43121202808708003203550010002278441393387271-old.xml
NF 227844;2012-12-14;265.95;43121202808708003203550010002278441393387271-old.xml
NF 227844;2012-12-14;499.87;43121202808708003203550010002278441393387271-old.xml
NF 226025;2012-12-02;386.58;43121202808708003203550010002260251369272504-nfe.xml
NF 226025;2012-12-02;328.52;43121202808708003203550010002260251369272504-nfe.xml
NF 227040;2012-12-09;91.95;43121202808708003203550010002270401418155821-old.xml
NF 226050;2012-12-02;258.13;43121202808708003203550010002260501477165953-old.xml
NF 226050;2012-12-02;657.05;43121202808708003203550010002260501477165953-old.xml
NF 74352;2012-12-08;87.32;43121202808708002908550010000743521580132874-old.xml
NF 74352;2012-12-08;27.09;43121202808708002908550010000743521580132874-old.xml
NF 74352;2012-12-08;349.31;43121202808708002908550010000743521580132874-old.xml
NF 230492;2012-12-30;527.99;43121202808708003203550010002304921348156212-old.xml
NF 230263;2012-12-29;391.10;43121202808708003203550010002302631398119016-old.xml
NF 230263;2012-12-29;136.05;43121202808708003203550010002302631398119016-old.xml
NF 230263;2012-12-29;128.06;43121202808708003203550010002302631398119016-old.xml
NF 229192;2012-12-21;143.98;43121202808708003203550010002291921543136625-old.xml
NF 229192;2012-12-21;754.23;43121202808708003203550010002291921543136625-old.xml
NF 229192;2012-12-21;143.33;43121202808708003203550010002291921543136625-old.xml
NF 229912;2012-12-27;328.52;43121202808708003203550010002299121479288051-old.xml
NF 229912;2012-12-27;55.23;43121202808708003203550010002299121479288051-old.xml
NF 75647;2012-12-30;278.01;43121202808708002908550010000756471236334497-nfe.xml
NF 75647;2012-12-30;298.34;43121202808708002908550010000756471236334497-nfe.xml
NF 229727;2012-12-26;594.47;43121202808708003203550010002297271551114087-nfe.xml
NF 229727;2012-12-26;335.70;43121202808708003203550010002297271551114087-nfe.xml
NF 228262;2012-12-16;435.31;43121202808708003203550010002282621351340277-old.xml
NF 228262;2012-12-16;395.01;43121202808708003203550010002282621351340277-old.xml
NF 226594;2012-12-06;205.33;43121202808708003203550010002265941454106693-nfe.xml
NF 228283;2012-12-16;790.02;43121202808708003203550010002282831373179746-nfe.xml
NF 74497;2012-12-11;146.92;43121202808708002908550010000744972382353543-old.xml
NF 74497;2012-12-11;115.10;43121202808708002908550010000744972382353543-old.xml
NF 74497;2012-12-11;248.77;43121202808708002908550010000744972382353543-old.xml
NF 74183;2012-12-05;8.79;43121202808708002908550010000741831559188330-old.xml
NF 74183;2012-12-05;152.15;43121202808708002908550010000741831559188330-old.xml
NF 74183;2012-12-05;248.77;43121202808708002908550010000741831559188330-old.xml
NF 226826;2012-12-07;391.10;43121202808708003203550010002268261427206204-old.xml
NF 226826;2012-12-07;427.24;43121202808708003203550010002268261427206204-old.xml
NF 230480;2012-12-30;397.62;43121202808708003203550010002304801508303187-nfe.xml
NF 230259;2012-12-29;932.39;43121202808708003203550010002302591451334610-nfe.xml
NF 75009;2012-12-18;9.88;43121202808708002908550010000750091493234722-nfe.xml
NF 75009;2012-12-18;101.95;43121202808708002908550010000750091493234722-nfe.xml
NF 75009;2012-12-18;59.54;43121202808708002908550010000750091493234722-nfe.xml
NF 226775;2012-12-07;397.62;43121202808708003203550010002267751375113781-old.xml
NF 225910;2012-12-01;391.10;43121202808708003203550010002259101508199144-nfe.xml
NF 225910;2012-12-01;572.50;43121202808708003203550010002259101508199144-nfe.xml
NF 230068;2012-12-28;3.26;43121202808708003203550010002300681367416413-old.xml
NF 227348;2012-12-11;391.10;43121202808708003203550010002273481430310470-old.xml
NF 227348;2012-12-11;527.99;43121202808708003203550010002273481430310470-old.xml
NF 228707;2012-12-19;391.10;43121202808708003203550010002287071461267286-nfe.xml
NF 228707;2012-12-19;441.81;43121202808708003203550010002287071461267286-nfe.xml
NF 226026;2012-12-02;297.24;43121202808708003203550010002260261495294217-old.xml
NF 226026;2012-12-02;361.77;43121202808708003203550010002260261495294217-old.xml
NF 226026;2012-12-02;253.39;43121202808708003203550010002260261495294217-old.xml
NF 230046;2012-12-28;225.10;43121202808708003203550010002300461411140590-nfe.xml
NF 230046;2012-12-28;169.97;43121202808708003203550010002300461411140590-nfe.xml
NF 228305;2012-12-17;324.61;43121202808708003203550010002283051409270232-old.xml
NF 228305;2012-12-17;394.36;43121202808708003203550010002283051409270232-old.xml
NF 228305;2012-12-17;397.33;43121202808708003203550010002283051409270232-old.xml
NF 230111;2012-12-28;659.46;43121202808708003203550010002301111376288689-nfe.xml
NF 229239;2012-12-22;915.17;43121202808708003203550010002292391540227601-nfe.xml
NF 75602;2012-12-29;95.96;43121202808708002908550010000756021508123294-nfe.xml
NF 75602;2012-12-29;205.39;43121202808708002908550010000756021508123294-nfe.xml
NF 75602;2012-12-29;260.02;43121202808708002908550010000756021508123294-nfe.xml
NF 75480;2012-12-27;278.01;43121202808708002908550010000754801515358418-nfe.xml
NF 75480;2012-12-27;248.77;43121202808708002908550010000754801515358418-nfe.xml
NF 75394;2012-12-26;254.72;43121202808708002908550010000753941464412917-nfe.xml
NF 75394;2012-12-26;149.92;43121202808708002908550010000753941464412917-nfe.xml
NF 75394;2012-12-26;149.92;43121202808708002908550010000753941464412917-nfe.xml
NF 226393;2012-12-05;839.16;43121202808708003203550010002263931428212238-old.xml
NF 226393;2012-12-05;281.44;43121202808708003203550010002263931428212238-old.xml
NF 228291;2012-12-16;398.92;43121202808708003203550010002282911436398352-old.xml
NF 228291;2012-12-16;335.70;43121202808708003203550010002282911436398352-old.xml
NF 228291;2012-12-16;168.93;43121202808708003203550010002282911436398352-old.xml
NF 227512;2012-12-12;599.69;43121202808708003203550010002275121398179073-old.xml
NF 227512;2012-12-12;328.52;43121202808708003203550010002275121398179073-old.xml
NF 75008;2012-12-18;37.34;43121202808708002908550010000750081443199993-old.xml
NF 75008;2012-12-18;174.28;43121202808708002908550010000750081443199993-old.xml
NF 229700;2012-12-26;55.23;43121202808708003203550010002297001449300086-old.xml
NF 229700;2012-12-26;199.46;43121202808708003203550010002297001449300086-old.xml
NF 229700;2012-12-26;179.44;43121202808708003203550010002297001449300086-old.xml
NF 75114;2012-12-19;18.31;43121202808708002908550010000751141331220438-old.xml
NF 75114;2012-12-19;382.35;43121202808708002908550010000751141331220438-old.xml
NF 75114;2012-12-19;113.17;43121202808708002908550010000751141331220438-old.xml
NF 229712;2012-12-26;328.52;43121202808708003203550010002297121407410470-old.xml
NF 229712;2012-12-26;640.86;43121202808708003203550010002297121407410470-old.xml
NF 74585;2012-12-12;298.34;43121202808708002908550010000745851416358298-old.xml
NF 74585;2012-12-12;70.95;43121202808708002908550010000745851416358298-old.xml
NF 74585;2012-12-12;70.95;43121202808708002908550010000745851416358298-old.xml
NF 74182;2012-12-05;18.31;43121202808708002908550010000741821539275800-old.xml
NF 74182;2012-12-05;16.47;43121202808708002908550010000741821539275800-old.xml
NF 229913;2012-12-27;139.83;43121202808708003203550010002299131529117902-nfe.xml
NF 229913;2012-12-27;879.11;43121202808708003203550010002299131529117902-nfe.xml
NF 229913;2012-12-27;72.29;43121202808708003203550010002299131529117902-nfe.xml
NF 227829;2012-12-14;270.86;43121202808708003203550010002278291386139644-old.xml
NF 227829;2012-12-14;142.53;43121202808708003203550010002278291386139644-old.xml
NF 227829;2012-12-14;195.55;43121202808708003203550010002278291386139644-old.xml
NF 229291;2012-12-22;39.11;43121202808708003203550010002292911470197121-old.xml
NF 230505;2012-12-30;541.03;43121202808708003203550010002305051534307659-old.xml
NF 227047;2012-12-09;935.39;43121202808708003203550010002270471463216789-nfe.xml
NF 227004;2012-12-08;335.70;43121202808708003203550010002270041344317495-nfe.xml
NF 226596;2012-12-06;395.01;43121202808708003203550010002265961420167864-old.xml
NF 226596;2012-12-06;332.44;43121202808708003203550010002265961420167864-old.xml
NF 226765;2012-12-07;527.99;43121202808708003203550010002267651475196763-old.xml
NF 226765;2012-12-07;328.11;43121202808708003203550010002267651475196763-old.xml
NF 226025;2012-12-02;386.58;43121202808708003203550010002260251369272504-old.xml
NF 226025;2012-12-02;328.52;43121202808708003203550010002260251369272504-old.xml
NF 228091;2012-12-15;1807.52;43121202808708003203550010002280911372344078-old.xml
NF 74812;2012-12-15;139.71;43121202808708002908550010000748121532369373-old.xml
NF 74812;2012-12-15;206.61;43121202808708002908550010000748121532369373-old.xml
NF 74812;2012-12-15;286.99;43121202808708002908550010000748121532369373-old.xml
NF 228227;2012-12-16;461.50;43121202808708003203550010002282271052291100-old.xml
NF 228227;2012-12-16;495.60;43121202808708003203550010002282271052291100-old.xml
NF 74031;2012-12-03;117.13;43121202808708002908550010000740311471129043-old.xml
NF 74031;2012-12-03;122.93;43121202808708002908550010000740311471129043-old.xml
NF 228930;2012-12-20;397.62;43121202808708003203550010002289301594364524-nfe.xml
NF 228930;2012-12-20;400.88;43121202808708003203550010002289301594364524-nfe.xml
NF 227041;2012-12-09;723.54;43121202808708003203550010002270411448290198-nfe.xml
NF 227518;2012-12-12;999.74;43121202808708003203550010002275181536345430-old.xml
NF 229193;2012-12-21;126.90;43121202808708003203550010002291931593214678-old.xml
NF 229193;2012-12-21;217.89;43121202808708003203550010002291931593214678-old.xml
NF 229193;2012-12-21;69.14;43121202808708003203550010002291931593214678-old.xml
NF 227660;2012-12-13;165.68;43121202808708003203550010002276601505240318-old.xml
NF 75007;2012-12-18;169.34;43121202808708002908550010000750071410280697-nfe.xml
NF 75007;2012-12-18;254.02;43121202808708002908550010000750071410280697-nfe.xml
NF 74584;2012-12-12;126.72;43121202808708002908550010000745841396393126-old.xml
NF 74584;2012-12-12;72.01;43121202808708002908550010000745841396393126-old.xml
NF 228640;2012-12-19;511.08;43121202808708003203550010002286401468302310-nfe.xml
NF 229614;2012-12-24;531.25;43121202808708003203550010002296141347271915-nfe.xml
NF 229614;2012-12-24;400.88;43121202808708003203550010002296141347271915-nfe.xml
NF 75647;2012-12-30;278.01;43121202808708002908550010000756471236334497-old.xml
NF 75647;2012-12-30;298.34;43121202808708002908550010000756471236334497-old.xml
NF 229727;2012-12-26;594.47;43121202808708003203550010002297271551114087-old.xml
NF 229727;2012-12-26;335.70;43121202808708003203550010002297271551114087-old.xml
NF 228283;2012-12-16;790.02;43121202808708003203550010002282831373179746-old.xml
NF 230480;2012-12-30;397.62;43121202808708003203550010002304801508303187-old.xml
NF 230259;2012-12-29;932.39;43121202808708003203550010002302591451334610-old.xml
NF 75009;2012-12-18;9.88;43121202808708002908550010000750091493234722-old.xml
NF 75009;2012-12-18;101.95;43121202808708002908550010000750091493234722-old.xml
NF 75009;2012-12-18;59.54;43121202808708002908550010000750091493234722-old.xml
NF 225921;2012-12-01;594.47;43121202808708003203550010002259211563381572-nfe.xml
NF 225921;2012-12-01;110.45;43121202808708003203550010002259211563381572-nfe.xml
NF 225921;2012-12-01;213.62;43121202808708003203550010002259211563381572-nfe.xml
NF 73937;2012-12-01;276.60;43121202808708002908550010000739371362401050-nfe.xml
NF 73937;2012-12-01;298.34;43121202808708002908550010000739371362401050-nfe.xml
NF 228707;2012-12-19;391.10;43121202808708003203550010002287071461267286-old.xml
NF 228707;2012-12-19;441.81;43121202808708003203550010002287071461267286-old.xml
NF 225886;2012-12-01;132.97;43121202808708003203550010002258861417188622-nfe.xml
NF 225886;2012-12-01;623.76;43121202808708003203550010002258861417188622-nfe.xml
NF 225886;2012-12-01;214.09;43121202808708003203550010002258861417188622-nfe.xml
NF 228931;2012-12-20;541.03;43121202808708003203550010002289311523269500-nfe.xml
NF 228931;2012-12-20;224.15;43121202808708003203550010002289311523269500-nfe.xml
NF 226933;2012-12-08;457.59;43121202808708003203550010002269331441424027-old.xml
NF 226933;2012-12-08;457.59;43121202808708003203550010002269331441424027-old.xml
NF 74351;2012-12-08;17.18;43121202808708002908550010000743511540195142-old.xml
NF 74351;2012-12-08;16.47;43121202808708002908550010000743511540195142-old.xml
NF 230046;2012-12-28;225.10;43121202808708003203550010002300461411140590-old.xml
NF 230046;2012-12-28;169.97;43121202808708003203550010002300461411140590-old.xml
NF 228897;2012-12-20;397.62;43121202808708003203550010002288971493243539-old.xml
NF 228897;2012-12-20;400.88;43121202808708003203550010002288971493243539-old.xml
NF 230111;2012-12-28;659.46;43121202808708003203550010002301111376288689-old.xml
NF 229239;2012-12-22;915.17;43121202808708003203550010002292391540227601-old.xml
NF 75602;2012-12-29;95.96;43121202808708002908550010000756021508123294-old.xml
NF 75602;2012-12-29;205.39;43121202808708002908550010000756021508123294-old.xml
NF 75602;2012-12-29;260.02;43121202808708002908550010000756021508123294-old.xml
NF 228143;2012-12-15;798.50;43121202808708003203550010002281431415207652-old.xml
NF 75480;2012-12-27;278.01;43121202808708002908550010000754801515358418-old.xml
NF 75480;2012-12-27;248.77;43121202808708002908550010000754801515358418-old.xml
NF 75394;2012-12-26;254.72;43121202808708002908550010000753941464412917-old.xml
NF 75394;2012-12-26;149.92;43121202808708002908550010000753941464412917-old.xml
NF 75394;2012-12-26;149.92;43121202808708002908550010000753941464412917-old.xml
NF 230281;2012-12-29;272.88;43121202808708003203550010002302811548272947-nfe.xml
NF 230281;2012-12-29;640.86;43121202808708003203550010002302811548272947-nfe.xml
NF 75241;2012-12-21;101.95;43121202808708002908550010000752411425413640-nfe.xml
NF 228092;2012-12-15;600.99;43121202808708003203550010002280921382311285-old.xml
NF 228092;2012-12-15;76.53;43121202808708003203550010002280921382311285-old.xml
NF 227380;2012-12-11;719.62;43121202808708003203550010002273801433171249-old.xml
NF 227380;2012-12-11;437.09;43121202808708003203550010002273801433171249-old.xml
NF 229913;2012-12-27;139.83;43121202808708003203550010002299131529117902-old.xml
NF 229913;2012-12-27;879.11;43121202808708003203550010002299131529117902-old.xml
NF 229913;2012-12-27;72.29;43121202808708003203550010002299131529117902-old.xml
NF 228840;2012-12-20;400.88;43121202808708003203550010002288401393376852-nfe.xml
NF 228840;2012-12-20;524.07;43121202808708003203550010002288401393376852-nfe.xml
NF 227917;2012-12-14;925.61;43121202808708003203550010002279171468160056-old.xml
NF 227047;2012-12-09;935.39;43121202808708003203550010002270471463216789-old.xml
NF 75674;2012-12-31;280.83;43121202808708002908550010000756741491280256-nfe.xml
NF 75674;2012-12-31;149.92;43121202808708002908550010000756741491280256-nfe.xml
NF 75674;2012-12-31;125.09;43121202808708002908550010000756741491280256-nfe.xml
NF 228653;2012-12-19;404.14;43121202808708003203550010002286531368379212-nfe.xml
NF 75672;2012-12-31;280.83;43121202808708002908550010000756721518236541-nfe.xml
NF 75672;2012-12-31;230.20;43121202808708002908550010000756721518236541-nfe.xml
NF 229067;2012-12-21;391.10;43121202808708003203550010002290671384301270-nfe.xml
NF 229067;2012-12-21;438.56;43121202808708003203550010002290671384301270-nfe.xml
NF 226907;2012-12-08;596.43;43121202808708003203550010002269071380166953-old.xml
NF 229293;2012-12-22;911.26;43121202808708003203550010002292931439218656-nfe.xml
NF 228736;2012-12-19;202.07;43121202808708003203550010002287361432129620-nfe.xml
NF 228930;2012-12-20;397.62;43121202808708003203550010002289301594364524-old.xml
NF 228930;2012-12-20;400.88;43121202808708003203550010002289301594364524-old.xml
NF 227041;2012-12-09;723.54;43121202808708003203550010002270411448290198-old.xml
NF 227843;2012-12-14;328.52;43121202808708003203550010002278431550259316-old.xml
NF 227843;2012-12-14;404.14;43121202808708003203550010002278431550259316-old.xml
NF 227843;2012-12-14;165.68;43121202808708003203550010002278431550259316-old.xml
NF 75007;2012-12-18;169.34;43121202808708002908550010000750071410280697-old.xml
NF 75007;2012-12-18;254.02;43121202808708002908550010000750071410280697-old.xml
NF 230273;2012-12-29;397.62;43121202808708003203550010002302731375404128-nfe.xml
NF 230273;2012-12-29;534.51;43121202808708003203550010002302731375404128-nfe.xml
NF 228640;2012-12-19;511.08;43121202808708003203550010002286401468302310-old.xml
NF 227351;2012-12-11;398.92;43121202808708003203550010002273511339220035-old.xml
NF 227351;2012-12-11;563.84;43121202808708003203550010002273511339220035-old.xml
NF 229614;2012-12-24;531.25;43121202808708003203550010002296141347271915-old.xml
NF 229614;2012-12-24;400.88;43121202808708003203550010002296141347271915-old.xml
NF 75242;2012-12-21;87.04;43121202808708002908550010000752421445133852-nfe.xml
NF 75242;2012-12-21;358.31;43121202808708002908550010000752421445133852-nfe.xml
NF 75242;2012-12-21;39.69;43121202808708002908550010000752421445133852-nfe.xml
NF 229292;2012-12-22;363.72;43121202808708003203550010002292921490174450-nfe.xml
NF 229292;2012-12-22;110.45;43121202808708003203550010002292921490174450-nfe.xml
NF 229292;2012-12-22;217.89;43121202808708003203550010002292921490174450-nfe.xml
NF 229264;2012-12-22;659.47;43121202808708003203550010002292641427188186-nfe.xml
NF 228737;2012-12-19;199.46;43121202808708003203550010002287371462395350-nfe.xml
NF 228737;2012-12-19;398.92;43121202808708003203550010002287371462395350-nfe.xml
NF 228737;2012-12-19;136.89;43121202808708003203550010002287371462395350-nfe.xml
NF 229879;2012-12-27;142.73;43121202808708003203550010002298791563176475-nfe.xml
NF 229879;2012-12-27;364.79;43121202808708003203550010002298791563176475-nfe.xml
NF 229879;2012-12-27;423.97;43121202808708003203550010002298791563176475-nfe.xml
NF 226597;2012-12-06;874.18;43121202808708003203550010002265971533270625-old.xml
NF 226597;2012-12-06;349.81;43121202808708003203550010002265971533270625-old.xml
NF 226597;2012-12-06;281.44;43121202808708003203550010002265971533270625-old.xml
NF 227057;2012-12-09;926.91;43121202808708003203550010002270571464104972-nfe.xml
NF 226464;2012-12-05;589.92;43121202808708003203550010002264641467348572-old.xml
NF 226464;2012-12-05;395.01;43121202808708003203550010002264641467348572-old.xml
NF 226464;2012-12-05;347.21;43121202808708003203550010002264641467348572-old.xml
NF 229612;2012-12-24;945.17;43121202808708003203550010002296121445419629-nfe.xml
NF 226034;2012-12-02;1430.79;43121202808708003203550010002260341472138938-nfe.xml
NF 228863;2012-12-20;286.25;43121202808708003203550010002288631442324606-nfe.xml
NF 228863;2012-12-20;3391.56;43121202808708003203550010002288631442324606-nfe.xml
NF 228931;2012-12-20;541.03;43121202808708003203550010002289311523269500-old.xml
NF 228931;2012-12-20;224.15;43121202808708003203550010002289311523269500-old.xml
NF 229412;2012-12-23;865.18;43121202808708003203550010002294121506311651-nfe.xml
NF 229412;2012-12-23;278.44;43121202808708003203550010002294121506311651-nfe.xml
NF 226954;2012-12-08;1166.67;43121202808708003203550010002269541544285836-old.xml
NF 226954;2012-12-08;898.45;43121202808708003203550010002269541544285836-old.xml
NF 228862;2012-12-20;723.01;43121202808708003203550010002288621432204279-nfe.xml
NF 229878;2012-12-27;324.61;43121202808708003203550010002298781503212826-nfe.xml
NF 229878;2012-12-27;265.27;43121202808708003203550010002298781503212826-nfe.xml
NF 229878;2012-12-27;139.83;43121202808708003203550010002298781503212826-nfe.xml
NF 74897;2012-12-17;141.12;43121202808708002908550010000748971435327316-nfe.xml
NF 74897;2012-12-17;446.76;43121202808708002908550010000748971435327316-nfe.xml
NF 226820;2012-12-07;265.95;43121202808708003203550010002268201454323069-nfe.xml
NF 226820;2012-12-07;220.90;43121202808708003203550010002268201454323069-nfe.xml
NF 75599;2012-12-29;210.27;43121202808708002908550010000755991385214800-nfe.xml
NF 75599;2012-12-29;17.57;43121202808708002908550010000755991385214800-nfe.xml
NF 75599;2012-12-29;248.77;43121202808708002908550010000755991385214800-nfe.xml
NF 226394;2012-12-05;195.55;43121202808708003203550010002263941002194410-nfe.xml
NF 226394;2012-12-05;726.80;43121202808708003203550010002263941002194410-nfe.xml
NF 226394;2012-12-05;732.87;43121202808708003203550010002263941002194410-nfe.xml
NF 229711;2012-12-26;915.17;43121202808708003203550010002297111382319566-nfe.xml
NF 230281;2012-12-29;272.88;43121202808708003203550010002302811548272947-old.xml
NF 230281;2012-12-29;640.86;43121202808708003203550010002302811548272947-old.xml
NF 75241;2012-12-21;101.95;43121202808708002908550010000752411425413640-old.xml
NF 230661;2012-12-31;283.23;43121202808708003203550010002306611513283356-nfe.xml
NF 230661;2012-12-31;265.44;43121202808708003203550010002306611513283356-nfe.xml
NF 229590;2012-12-24;328.11;43121202808708003203550010002295901506255370-nfe.xml
NF 229590;2012-12-24;395.01;43121202808708003203550010002295901506255370-nfe.xml
NF 229115;2012-12-21;1007.59;43121202808708003203550010002291151547195120-nfe.xml
NF 228840;2012-12-20;400.88;43121202808708003203550010002288401393376852-old.xml
NF 228840;2012-12-20;524.07;43121202808708003203550010002288401393376852-old.xml
NF 229699;2012-12-26;328.52;43121202808708003203550010002296991409234314-nfe.xml
NF 229699;2012-12-26;234.96;43121202808708003203550010002296991409234314-nfe.xml
NF 75674;2012-12-31;280.83;43121202808708002908550010000756741491280256-old.xml
NF 75674;2012-12-31;149.92;43121202808708002908550010000756741491280256-old.xml
NF 75674;2012-12-31;125.09;43121202808708002908550010000756741491280256-old.xml
NF 228653;2012-12-19;404.14;43121202808708003203550010002286531368379212-old.xml
NF 228706;2012-12-19;266.60;43121202808708003203550010002287061392299091-nfe.xml
NF 228706;2012-12-19;407.40;43121202808708003203550010002287061392299091-nfe.xml
NF 75672;2012-12-31;280.83;43121202808708002908550010000756721518236541-old.xml
NF 75672;2012-12-31;230.20;43121202808708002908550010000756721518236541-old.xml
NF 230671;2012-12-31;394.36;43121202808708003203550010002306711438368260-nfe.xml
NF 230671;2012-12-31;531.25;43121202808708003203550010002306711438368260-nfe.xml
NF 226395;2012-12-05;75.19;43121202808708003203550010002263951434184849-old.xml
NF 226395;2012-12-05;1166.67;43121202808708003203550010002263951434184849-old.xml
NF 226395;2012-12-05;634.60;43121202808708003203550010002263951434184849-old.xml
NF 229067;2012-12-21;391.10;43121202808708003203550010002290671384301270-old.xml
NF 229067;2012-12-21;438.56;43121202808708003203550010002290671384301270-old.xml
NF 74683;2012-12-13;254.72;43121202808708002908550010000746831520108686-old.xml
NF 74683;2012-12-13;113.78;43121202808708002908550010000746831520108686-old.xml
NF 74683;2012-12-13;218.15;43121202808708002908550010000746831520108686-old.xml
NF 230667;2012-12-31;527.99;43121202808708003203550010002306671396188860-nfe.xml
NF 229293;2012-12-22;911.26;43121202808708003203550010002292931439218656-old.xml
NF 228736;2012-12-19;202.07;43121202808708003203550010002287361432129620-old.xml
NF 74728;2012-12-14;148.42;43121202808708002908550010000747281429322577-old.xml
NF 74728;2012-12-14;148.42;43121202808708002908550010000747281429322577-old.xml
