No. NF;DATA EMISSAO;VALOR IPI;NOME ARQUIVO XML
NF 85335;2015-11-04T01:04:03-02:00;0;43151107526557004016550010000853351876753222-old.xml
NF 85335;2015-11-04T01:04:03-02:00;0;43151107526557004016550010000853351876753222-old.xml
NF 85335;2015-11-04T01:04:03-02:00;0;43151107526557004016550010000853351876753222-old.xml
NF 34511;2015-11-07T10:09:57-02:00;0;43151107526557003982550010000345111451595087-nfe.xml
NF 34511;2015-11-07T10:09:57-02:00;0;43151107526557003982550010000345111451595087-nfe.xml
NF 34390;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343901519482633-old.xml
NF 34390;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343901519482633-old.xml
NF 34390;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343901519482633-old.xml
NF 85685;2015-11-06T04:07:14-02:00;0;43151107526557004016550010000856851307061235-nfe.xml
NF 85685;2015-11-06T04:07:14-02:00;0;43151107526557004016550010000856851307061235-nfe.xml
NF 85685;2015-11-06T04:07:14-02:00;0;43151107526557004016550010000856851307061235-nfe.xml
NF 86328;2015-11-12T02:15:59-02:00;0;43151107526557004016550010000863281775289067-nfe.xml
NF 85509;2015-11-05T05:12:52-02:00;0;43151107526557004016550010000855091464551828-nfe.xml
NF 86059;2015-11-10T03:13:14-02:00;0;43151107526557004016550010000860591121384370-old.xml
NF 86059;2015-11-10T03:13:14-02:00;0;43151107526557004016550010000860591121384370-old.xml
NF 86059;2015-11-10T03:13:14-02:00;0;43151107526557004016550010000860591121384370-old.xml
NF 86593;2015-11-14T02:45:59-02:00;0;43151107526557004016550010000865931996265429-nfe.xml
NF 86593;2015-11-14T02:45:59-02:00;0;43151107526557004016550010000865931996265429-nfe.xml
NF 86593;2015-11-14T02:45:59-02:00;0;43151107526557004016550010000865931996265429-nfe.xml
NF 85484;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854841206774831-nfe.xml
NF 85484;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854841206774831-nfe.xml
NF 85484;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854841206774831-nfe.xml
NF 86329;2015-11-12T02:15:59-02:00;0;43151107526557004016550010000863291729298986-nfe.xml
NF 86329;2015-11-12T02:15:59-02:00;0;43151107526557004016550010000863291729298986-nfe.xml
NF 86329;2015-11-12T02:15:59-02:00;0;43151107526557004016550010000863291729298986-nfe.xml
NF 85916;2015-11-09T01:19:06-02:00;0;43151107526557004016550010000859161043474793-nfe.xml
NF 85916;2015-11-09T01:19:06-02:00;0;43151107526557004016550010000859161043474793-nfe.xml
NF 85916;2015-11-09T01:19:06-02:00;0;43151107526557004016550010000859161043474793-nfe.xml
NF 85907;2015-11-09T00:42:45-02:00;0;43151107526557004016550010000859071626052888-old.xml
NF 85907;2015-11-09T00:42:45-02:00;0;43151107526557004016550010000859071626052888-old.xml
NF 85907;2015-11-09T00:42:45-02:00;0;43151107526557004016550010000859071626052888-old.xml
NF 34451;2015-11-06T08:25:03-02:00;0;43151107526557003982550010000344511999088982-nfe.xml
NF 34451;2015-11-06T08:25:03-02:00;0;43151107526557003982550010000344511999088982-nfe.xml
NF 34451;2015-11-06T08:25:03-02:00;0;43151107526557003982550010000344511999088982-nfe.xml
NF 34869;2015-11-14T09:34:05-02:00;0;43151107526557003982550010000348691604140940-nfe.xml
NF 34869;2015-11-14T09:34:05-02:00;0;43151107526557003982550010000348691604140940-nfe.xml
NF 34869;2015-11-14T09:34:05-02:00;0;43151107526557003982550010000348691604140940-nfe.xml
NF 85485;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854851153108279-old.xml
NF 85485;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854851153108279-old.xml
NF 85485;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854851153108279-old.xml
NF 34389;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343891589152011-nfe.xml
NF 34389;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343891589152011-nfe.xml
NF 34389;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343891589152011-nfe.xml
NF 85684;2015-11-06T04:07:14-02:00;0;43151107526557004016550010000856841756709510-old.xml
NF 85684;2015-11-06T04:07:14-02:00;0;43151107526557004016550010000856841756709510-old.xml
NF 85684;2015-11-06T04:07:14-02:00;0;43151107526557004016550010000856841756709510-old.xml
NF 85510;2015-11-05T05:12:52-02:00;0;43151107526557004016550010000855101801705664-nfe.xml
NF 85510;2015-11-05T05:12:52-02:00;0;43151107526557004016550010000855101801705664-nfe.xml
NF 85510;2015-11-05T05:12:52-02:00;0;43151107526557004016550010000855101801705664-nfe.xml
NF 85357;2015-11-04T04:09:46-02:00;0;43151107526557004016550010000853571051361080-nfe.xml
NF 85357;2015-11-04T04:09:46-02:00;0;43151107526557004016550010000853571051361080-nfe.xml
NF 86187;2015-11-11T01:42:49-02:00;0;43151107526557004016550010000861871390256843-old.xml
NF 34388;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343881794885508-old.xml
NF 34388;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343881794885508-old.xml
NF 34388;2015-11-05T11:04:13-02:00;0;43151107526557003982550010000343881794885508-old.xml
NF 85483;2015-11-05T01:31:20-02:00;0;43151107526557004016550010000854831256269700-old.xml
NF 86333;2015-11-12T03:13:02-02:00;0;43151107526557004016550010000863331828926570-nfe.xml
NF 86333;2015-11-12T03:13:02-02:00;0;43151107526557004016550010000863331828926570-nfe.xml
NF 86333;2015-11-12T03:13:02-02:00;0;43151107526557004016550010000863331828926570-nfe.xml
NF 85193;2015-11-02T22:16:04-02:00;0;43151107526557004016550010000851931691407916-old.xml
NF 85193;2015-11-02T22:16:04-02:00;0;43151107526557004016550010000851931691407916-old.xml
NF 85193;2015-11-02T22:16:04-02:00;0;43151107526557004016550010000851931691407916-old.xml
NF 86592;2015-11-14T02:45:59-02:00;0;43151107526557004016550010000865921511240499-nfe.xml
NF 34656;2015-11-11T09:03:57-02:00;0;43151107526557003982550010000346561533413346-nfe.xml
NF 34656;2015-11-11T09:03:57-02:00;0;43151107526557003982550010000346561533413346-nfe.xml
NF 34656;2015-11-11T09:03:57-02:00;0;43151107526557003982550010000346561533413346-nfe.xml
NF 64969;2015-05-08T04:52:03-03:00;0;43150507526557004016550010000649691395394170-old.xml
NF 64969;2015-05-08T04:52:03-03:00;0;43150507526557004016550010000649691395394170-old.xml
NF 25327;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253271146594384-old.xml
NF 67246;2015-05-29T04:09:54-03:00;0;43150507526557004016550010000672461368554278-old.xml
NF 67246;2015-05-29T04:09:54-03:00;0;43150507526557004016550010000672461368554278-old.xml
NF 67246;2015-05-29T04:09:54-03:00;0;43150507526557004016550010000672461368554278-old.xml
NF 65846;2015-05-18T01:22:02-03:00;0;43150507526557004016550010000658461736591004-old.xml
NF 65263;2015-05-12T02:15:56-03:00;0;43150507526557004016550010000652631664076239-old.xml
NF 65263;2015-05-12T02:15:56-03:00;0;43150507526557004016550010000652631664076239-old.xml
NF 25206;2015-05-09T10:25:12-03:00;0;43150507526557003982550010000252061062481621-old.xml
NF 25206;2015-05-09T10:25:12-03:00;0;43150507526557003982550010000252061062481621-old.xml
NF 65845;2015-05-18T01:21:58-03:00;0;43150507526557004016550010000658451092840740-old.xml
NF 65845;2015-05-18T01:21:58-03:00;0;43150507526557004016550010000658451092840740-old.xml
NF 65845;2015-05-18T01:21:58-03:00;0;43150507526557004016550010000658451092840740-old.xml
NF 65390;2015-05-13T05:10:06-03:00;0;43150507526557004016550010000653901923813849-old.xml
NF 65390;2015-05-13T05:10:06-03:00;0;43150507526557004016550010000653901923813849-old.xml
NF 65390;2015-05-13T05:10:06-03:00;0;43150507526557004016550010000653901923813849-old.xml
NF 64624;2015-05-05T05:57:55-03:00;0;43150507526557004016550010000646241395725615-old.xml
NF 64624;2015-05-05T05:57:55-03:00;0;43150507526557004016550010000646241395725615-old.xml
NF 64624;2015-05-05T05:57:55-03:00;0;43150507526557004016550010000646241395725615-old.xml
NF 65982;2015-05-19T04:31:00-03:00;0;43150507526557004016550010000659821268119583-nfe.xml
NF 25207;2015-05-09T10:25:12-03:00;0;43150507526557003982550010000252071075609467-old.xml
NF 25207;2015-05-09T10:25:12-03:00;0;43150507526557003982550010000252071075609467-old.xml
NF 25207;2015-05-09T10:25:12-03:00;0;43150507526557003982550010000252071075609467-old.xml
NF 66410;2015-05-22T04:01:01-03:00;0;43150507526557004016550010000664101301525083-old.xml
NF 66410;2015-05-22T04:01:01-03:00;0;43150507526557004016550010000664101301525083-old.xml
NF 65841;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658411728035339-nfe.xml
NF 65841;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658411728035339-nfe.xml
NF 65841;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658411728035339-nfe.xml
NF 25329;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253291597187435-nfe.xml
NF 25329;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253291597187435-nfe.xml
NF 25329;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253291597187435-nfe.xml
NF 25037;2015-05-06T09:27:54-03:00;0;43150507526557003982550010000250371073115899-old.xml
NF 25037;2015-05-06T09:27:54-03:00;0;43150507526557003982550010000250371073115899-old.xml
NF 25037;2015-05-06T09:27:54-03:00;0;43150507526557003982550010000250371073115899-old.xml
NF 26374;2015-05-30T09:51:52-03:00;0;43150507526557003982550010000263741462309605-old.xml
NF 26374;2015-05-30T09:51:52-03:00;0;43150507526557003982550010000263741462309605-old.xml
NF 25205;2015-05-09T10:25:03-03:00;0;43150507526557003982550010000252051584309858-nfe.xml
NF 25205;2015-05-09T10:25:03-03:00;0;43150507526557003982550010000252051584309858-nfe.xml
NF 25205;2015-05-09T10:25:03-03:00;0;43150507526557003982550010000252051584309858-nfe.xml
NF 25921;2015-05-23T08:22:10-03:00;0;43150507526557003982550010000259211767947189-old.xml
NF 25921;2015-05-23T08:22:10-03:00;0;43150507526557003982550010000259211767947189-old.xml
NF 25921;2015-05-23T08:22:10-03:00;0;43150507526557003982550010000259211767947189-old.xml
NF 67227;2015-05-29T02:09:53-03:00;0;43150507526557004016550010000672271674079438-old.xml
NF 65529;2015-05-14T06:18:57-03:00;0;43150507526557004016550010000655291600286873-nfe.xml
NF 65529;2015-05-14T06:18:57-03:00;0;43150507526557004016550010000655291600286873-nfe.xml
NF 25196;2015-05-09T08:57:52-03:00;0;43150507526557003982550010000251961030060444-nfe.xml
NF 25196;2015-05-09T08:57:52-03:00;0;43150507526557003982550010000251961030060444-nfe.xml
NF 25196;2015-05-09T08:57:52-03:00;0;43150507526557003982550010000251961030060444-nfe.xml
NF 65388;2015-05-13T04:37:00-03:00;0;43150507526557004016550010000653881150569985-old.xml
NF 65388;2015-05-13T04:37:00-03:00;0;43150507526557004016550010000653881150569985-old.xml
NF 65388;2015-05-13T04:37:00-03:00;0;43150507526557004016550010000653881150569985-old.xml
NF 65289;2015-05-12T05:57:52-03:00;0;43150507526557004016550010000652891899216193-old.xml
NF 64715;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647151736961476-nfe.xml
NF 64715;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647151736961476-nfe.xml
NF 64715;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647151736961476-nfe.xml
NF 64971;2015-05-08T04:52:14-03:00;0;43150507526557004016550010000649711395566548-old.xml
NF 64971;2015-05-08T04:52:14-03:00;0;43150507526557004016550010000649711395566548-old.xml
NF 66412;2015-05-22T04:01:01-03:00;0;43150507526557004016550010000664121580944260-old.xml
NF 66412;2015-05-22T04:01:01-03:00;0;43150507526557004016550010000664121580944260-old.xml
NF 66412;2015-05-22T04:01:01-03:00;0;43150507526557004016550010000664121580944260-old.xml
NF 65389;2015-05-13T05:10:06-03:00;0;43150507526557004016550010000653891181690082-old.xml
NF 65389;2015-05-13T05:10:06-03:00;0;43150507526557004016550010000653891181690082-old.xml
NF 64746;2015-05-06T09:06:48-03:00;0;43150507526557004016550010000647461860997220-old.xml
NF 64746;2015-05-06T09:06:48-03:00;0;43150507526557004016550010000647461860997220-old.xml
NF 64746;2015-05-06T09:06:48-03:00;0;43150507526557004016550010000647461860997220-old.xml
NF 26029;2015-05-26T09:31:01-03:00;0;43150507526557003982550010000260291703151107-old.xml
NF 26029;2015-05-26T09:31:01-03:00;0;43150507526557003982550010000260291703151107-old.xml
NF 26029;2015-05-26T09:31:01-03:00;0;43150507526557003982550010000260291703151107-old.xml
NF 67072;2015-05-28T01:18:54-03:00;0;43150507526557004016550010000670721810774109-old.xml
